seed,student,route,weighting,kl_teacher_to_student_T4,js_T4,l1_T4,hard_agreement_T1,top2_overlap_T1,margin_abs_error_T1,teacher_correct_student_wrong_rate,teacher_wrong_student_correct_rate,macro_class_hard_agreement_T1,macro_class_kl_T4
123,student_B,rf_kd,exact_group_balanced,0.013083949295642256,0.0035366839197366598,0.05329601129436804,0.992837892716063,0.9756709860818843,0.012302153914187505,0.006276073393140621,0.0008860338907963229,0.9567922198129061,0.0720851458309159
123,student_B,rf_kd,row_weighted,0.01751057649571132,0.004848960620131488,0.06130728009352588,0.9910125930267668,0.9760039786149447,0.016939726342984684,0.008046038258645494,0.0009413687145876627,0.9546366349347073,0.08901177124029418
123,student_B,scratch,exact_group_balanced,0.19681884171214112,0.03959805122272736,0.3759029104685917,0.9908443164617713,0.8809945730424189,0.09800719183130466,0.008177354450474397,0.0009598700483626833,0.9537988511423684,0.5378664239389936
123,student_B,scratch,row_weighted,0.1990317270388996,0.04078663881446147,0.3817470466938779,0.988810145468109,0.8801708673025346,0.10328644864773193,0.010141915774142555,0.0010301770838883856,0.9504901685520339,0.5462066700669429
456,student_A,rf_kd,exact_group_balanced,0.012653985816456177,0.0034594910440374355,0.055387179690529344,0.9899398235315834,0.9870140657880164,0.018888930864203707,0.00921106065640344,0.0008491158120131428,0.9429139936741583,0.0679004012270385
456,student_A,rf_kd,row_weighted,0.016906596810866675,0.004686213465438484,0.06349980166302596,0.9864656045185698,0.9852045256744996,0.028216374811573044,0.012610788440702651,0.0009236070407275182,0.9315014596067599,0.08537624400186312
456,student_A,scratch,exact_group_balanced,0.21903971876905468,0.04315350930690473,0.4088787717383319,0.9881677557499907,0.9707977996825046,0.11009602305565454,0.011020046516779267,0.0007568206150551925,0.9506553652402457,0.5663306854856508
456,student_A,scratch,row_weighted,0.21885379902703228,0.043664557086570625,0.41126839286003936,0.9859327543027655,0.9691035683202786,0.11534420652604413,0.013179162004227278,0.0008347986714267952,0.9455324955699089,0.5737184040251173
456,student_B,rf_kd,exact_group_balanced,0.009807963301508758,0.002689296757961977,0.04794422300405919,0.9936316314099014,0.98856462509691,0.013213794782374536,0.005648466053826559,0.0007199025362720124,0.9645618779520981,0.05235954311796359
456,student_B,rf_kd,row_weighted,0.012951780066372503,0.0036062530496377325,0.05457501686701571,0.9923624802401378,0.9867409104634021,0.018317801158580393,0.006873767783875952,0.000763751975986217,0.9638932661464613,0.0645657387323405
456,student_B,scratch,exact_group_balanced,0.20497321377635006,0.03610070670319992,0.3565554813109101,0.9924871709676228,0.9756709860818843,0.11569129173285517,0.0067375493779303726,0.0007568206150551925,0.9659721146787804,0.5835077014227306
456,student_B,scratch,row_weighted,0.2044682014142402,0.03656770989100915,0.35905640136221645,0.991279018134669,0.9741656453704197,0.11890116216169325,0.007903944867764337,0.000799275323706506,0.9652192260709178,0.5802798719726969
